epoch,val_loss,RMSE_deg,MAE_deg,R2,p95_deg,p99_deg,infer_ms,fps,timestamp,config,checkpoint_path
1,4.699989974358099e-05,0.5293329358100891,0.388191819190979,0.9966644624990835,1.1363466858863827,1.7130601775646208,7.067746225498066,141.48781918517875,2025-12-28 21:58:26,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
2,3.89136345974035e-05,0.47809675335884094,0.3587327301502228,0.997278930722701,0.9929243743419645,1.4351164782047254,7.205128205889394,138.79003557252608,2025-12-28 21:59:22,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
5,3.4362786840192496e-05,0.4450322091579437,0.3153647184371948,0.997642287412939,0.9739207118749612,1.4423787474632261,6.929222247943804,144.3163408846848,2025-12-28 22:02:08,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
6,3.2591123851191835e-05,0.44117045402526855,0.3255060613155365,0.9976830274657521,0.9496448695659637,1.390041556358336,6.270245355390853,159.48339232694434,2025-12-28 22:03:05,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
7,2.6434560175125217e-05,0.39899522066116333,0.2899470925331116,0.998104850994045,0.8790173232555386,1.2183501970767967,6.625527073900987,150.93138837801453,2025-12-28 22:04:02,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
9,2.5166954540258063e-05,0.39133220911026,0.283058226108551,0.9981769472419184,0.84499816596508,1.2612133860588073,6.690419601559175,149.46745638598722,2025-12-28 22:05:54,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
12,2.3464733487688506e-05,0.3763662278652191,0.297749787569046,0.9983137213869681,0.7510441511869428,1.0865724253654478,6.39561642004822,156.3570943475157,2025-12-28 22:08:41,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
14,2.0657163303907163e-05,0.34062230587005615,0.24903273582458496,0.9986188072926199,0.7222528457641598,1.1380490541458128,6.6402515084827,150.59670536914655,2025-12-28 22:10:31,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
16,1.9970945539424257e-05,0.34534281492233276,0.2513747215270996,0.9985802592028248,0.7369760423898697,1.134158374071121,6.3885213799977585,156.5307432688518,2025-12-28 22:12:21,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
18,1.821940801982527e-05,0.3159883916378021,0.22661124169826508,0.9988113601411565,0.6646852761507032,1.0897749555110925,6.729951628451218,148.58947808368316,2025-12-28 22:14:13,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
21,1.6075859450011336e-05,0.3103557527065277,0.22501879930496216,0.9988533581326916,0.664785000681877,1.0092138588428494,6.9329107781792425,144.239559976369,2025-12-28 22:16:59,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
26,1.4198170109600924e-05,0.2916570007801056,0.21329334378242493,0.9989873645142103,0.6234077304601667,0.9389430469274517,6.682151950286984,149.65238854783183,2025-12-28 22:21:37,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
29,1.393664124115265e-05,0.29121774435043335,0.20790764689445496,0.9989904133587465,0.6132171124219894,0.9565171325206754,6.815225697676959,146.7302836853753,2025-12-28 22:24:23,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
33,1.3781959361714367e-05,0.28734612464904785,0.21239623427391052,0.9990170789745741,0.6042804479598998,0.8969557040929788,5.9227525955972045,168.8404139560666,2025-12-28 22:28:04,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
37,1.3724041390567237e-05,0.2877153754234314,0.21023651957511902,0.999014550950339,0.6145995289087295,0.9224119484424583,6.529021355892434,153.1623110862551,2025-12-28 22:31:46,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
43,1.3605205992032313e-05,0.2869713008403778,0.20817036926746368,0.9990196417343694,0.597360137104988,0.9074414116144176,6.409424288263581,156.02025314989976,2025-12-28 22:37:18,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
47,1.3421654509757734e-05,0.2867184281349182,0.20793300867080688,0.999021368496603,0.5992766559123992,0.883782874345779,7.081603261747248,141.2109607158746,2025-12-28 22:41:01,"{'exp_name': 'E1_charger_bev_resnet_norm', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'bev_resnet', 'bev_channels': 3, 'resnet': 18, 'feat_dim': 256, 'head_hidden': 128, 'dropout': 0.1}}",ckpts/E1_charger_bev_resnet_norm/best.pth
