epoch,val_loss,RMSE_deg,MAE_deg,R2,p95_deg,p99_deg,infer_ms,fps,timestamp,config,checkpoint_path
1,6.694679173485359e-05,0.6410627365112305,0.4306868314743042,0.9973020375921979,1.3746725440025318,2.417357769012449,10.475613568958483,95.45980227480108,2025-12-02 21:30:16,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
2,5.640712776598496e-05,0.5710448622703552,0.4171268045902252,0.9978592042772343,1.226104938983917,1.6878970050811757,10.582392675834791,94.49658792982893,2025-12-02 21:31:05,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
3,3.781683285534168e-05,0.46950408816337585,0.3433823883533478,0.9985528502122772,0.9666547775268534,1.6263122200965854,9.601486356634842,104.15054116167937,2025-12-02 21:31:54,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
8,3.580091834271869e-05,0.4543764591217041,0.34274810552597046,0.9986446037497702,0.8815820515155784,1.3625372004508955,10.206086593761778,97.98074813623721,2025-12-02 21:35:56,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
10,2.8918401365548595e-05,0.4171264171600342,0.29138508439064026,0.9988577259912148,0.788317185640335,1.3099053716659506,10.494465367835863,95.2883224585091,2025-12-02 21:37:33,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
16,2.8393620265133452e-05,0.40128618478775024,0.28256726264953613,0.9989428344208088,0.856138217449188,1.2703203177452076,10.76408959271615,92.90149356213837,2025-12-02 21:42:24,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
17,2.665466438344809e-05,0.3845459818840027,0.2657392621040344,0.9990291966111214,0.7720203638076777,1.3139482545852637,10.796920249336646,92.6190040221367,2025-12-02 21:43:13,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
18,2.204044491281222e-05,0.3512870669364929,0.27032843232154846,0.999189861909104,0.6962134480476369,1.1524151730537397,10.292164066381622,97.16129606468334,2025-12-02 21:44:02,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
19,2.0778889708245723e-05,0.32887372374534607,0.2164306938648224,0.9992899431383592,0.7100937426090231,1.297800674438476,10.115395512497216,98.85920909019673,2025-12-02 21:44:51,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
24,1.756468340599177e-05,0.317335844039917,0.21842321753501892,0.9993388911366189,0.5381177783012387,1.3441153454780457,10.387195829759564,96.27237383307785,2025-12-02 21:48:53,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
25,1.603644610831498e-05,0.2929370105266571,0.19675597548484802,0.9994366435757751,0.6391718029975885,1.116645698547363,10.222186122024269,97.82643243458895,2025-12-02 21:49:42,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
26,1.2092231322862035e-05,0.2582215368747711,0.17703886330127716,0.9995622564006316,0.5241965055465696,0.9596169662475578,9.842993920309501,101.59510491382648,2025-12-02 21:50:31,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
30,1.1521260094669691e-05,0.2560464143753052,0.18638376891613007,0.9995696001455602,0.5227362036705014,0.8389698529243459,9.691552111977026,103.18264695333771,2025-12-02 21:53:47,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
38,1.1141991842091975e-05,0.24964836239814758,0.1681135594844818,0.9995908409123874,0.5046048104763029,0.8752474379539484,10.30150944726509,97.07315273738708,2025-12-02 22:00:17,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
39,1.0291615531967005e-05,0.2412925362586975,0.17287211120128632,0.9996177719391502,0.5138419508934013,0.7918636631965624,10.500669479370117,95.23202325000568,2025-12-02 22:01:06,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
44,9.246837789533446e-06,0.22846554219722748,0.15931186079978943,0.9996573299167579,0.48294354081153845,0.7868582487106321,10.43462125878585,95.83481519830053,2025-12-02 22:05:10,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
49,9.194127111294093e-06,0.22804807126522064,0.16052848100662231,0.9996585811021604,0.4723130226135243,0.7847960829734791,10.260931232519317,97.45704140680367,2025-12-02 22:09:14,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
50,9.17634231836529e-06,0.2278965562582016,0.16079802811145782,0.9996590346439373,0.4676302492618555,0.7800433802604674,10.13302071052685,98.68725512039407,2025-12-02 22:10:03,"{'exp_name': 'E1_dummy_hitchnet', 'batch_size': 32, 'temporal_window': 20, 'micro_seq_length': 10, 'pcd_max_points': 1000, 'lr': 0.0001, 'epochs': 50, 'model': {'name': 'HitchNet', 'temporal': {'micro_input_dim': 5, 'micro_hidden_dim': 64, 'micro_layers': 1, 'macro_hidden_dim': 128, 'macro_layers': 2, 'bidirectional_micro': False}, 'spatial': {'gat_hidden_dim': 256, 'gat_layers': 3, 'gat_heads': 4, 'gat_k': 16}, 'fusion': {'fusion_dim': 256, 'fusion_heads': 4, 'dropout': 0.1}}}",ckpts/E1_dummy_hitchnet/best.pth
